"# hourly global horizontal irradiance (W/m2), benchmark SoCal site (33.25N -119.5W), 2022"
"# source: Open-Meteo ERA5 archive (open-meteo.com), CC-BY 4.0; local time auto"
date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,217.0,380.0,502.0,565.0,565.0,503.0,383.0,222.0,57.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,208.0,375.0,502.0,567.0,569.0,507.0,389.0,228.0,61.0,0.0,0.0,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,219.0,384.0,505.0,570.0,570.0,507.0,383.0,225.0,61.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,201.0,312.0,442.0,549.0,559.0,500.0,386.0,229.0,62.0,0.0,0.0,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,210.0,370.0,490.0,556.0,560.0,503.0,390.0,227.0,66.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,214.0,377.0,500.0,567.0,571.0,513.0,395.0,232.0,58.0,0.0,0.0,0.0,0.0,0.0
2022-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,104.0,265.0,449.0,527.0,563.0,476.0,258.0,235.0,56.0,0.0,0.0,0.0,0.0,0.0
2022-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,127.0,277.0,465.0,544.0,552.0,454.0,339.0,189.0,57.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,212.0,378.0,503.0,571.0,575.0,518.0,403.0,244.0,74.0,0.0,0.0,0.0,0.0,0.0
2022-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,110.0,288.0,359.0,394.0,357.0,351.0,284.0,161.0,45.0,0.0,0.0,0.0,0.0,0.0
2022-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,227.0,398.0,528.0,600.0,606.0,545.0,427.0,264.0,85.0,0.0,0.0,0.0,0.0,0.0
2022-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,141.0,225.0,328.0,378.0,425.0,375.0,310.0,196.0,60.0,0.0,0.0,0.0,0.0,0.0
2022-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,48.0,113.0,195.0,232.0,317.0,177.0,125.0,51.0,20.0,0.0,0.0,0.0,0.0,0.0
2022-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,211.0,380.0,497.0,510.0,587.0,482.0,365.0,247.0,75.0,1.0,0.0,0.0,0.0,0.0
2022-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,76.0,138.0,179.0,152.0,237.0,276.0,267.0,146.0,18.0,1.0,0.0,0.0,0.0,0.0
2022-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,168.0,277.0,384.0,496.0,548.0,496.0,377.0,234.0,73.0,1.0,0.0,0.0,0.0,0.0
2022-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,127.0,198.0,464.0,461.0,382.0,351.0,343.0,209.0,73.0,1.0,0.0,0.0,0.0,0.0
2022-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,198.0,361.0,494.0,541.0,555.0,504.0,417.0,263.0,89.0,2.0,0.0,0.0,0.0,0.0
2022-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,126.0,242.0,274.0,391.0,387.0,443.0,413.0,270.0,91.0,2.0,0.0,0.0,0.0,0.0
2022-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,230.0,402.0,532.0,605.0,616.0,563.0,450.0,288.0,106.0,2.0,0.0,0.0,0.0,0.0
2022-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,232.0,402.0,532.0,608.0,620.0,570.0,457.0,296.0,109.0,3.0,0.0,0.0,0.0,0.0
2022-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,245.0,422.0,555.0,632.0,644.0,587.0,470.0,304.0,116.0,4.0,0.0,0.0,0.0,0.0
2022-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,240.0,413.0,545.0,621.0,633.0,579.0,464.0,302.0,117.0,4.0,0.0,0.0,0.0,0.0
2022-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,243.0,419.0,553.0,630.0,642.0,589.0,473.0,309.0,121.0,4.0,0.0,0.0,0.0,0.0
2022-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,221.0,381.0,543.0,595.0,623.0,580.0,465.0,304.0,121.0,5.0,0.0,0.0,0.0,0.0
2022-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,223.0,388.0,528.0,591.0,586.0,513.0,379.0,241.0,117.0,6.0,0.0,0.0,0.0,0.0
2022-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,249.0,425.0,559.0,635.0,647.0,596.0,481.0,317.0,131.0,7.0,0.0,0.0,0.0,0.0
2022-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,245.0,433.0,567.0,643.0,655.0,602.0,488.0,324.0,135.0,7.0,0.0,0.0,0.0,0.0
2022-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,125.0,144.0,253.0,240.0,184.0,351.0,401.0,153.0,134.0,8.0,0.0,0.0,0.0,0.0
2022-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,265.0,447.0,585.0,663.0,676.0,622.0,502.0,337.0,144.0,9.0,0.0,0.0,0.0,0.0
2022-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,172.0,228.0,329.0,508.0,366.0,396.0,298.0,231.0,74.0,7.0,0.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,240.0,421.0,539.0,598.0,659.0,556.0,487.0,336.0,143.0,10.0,0.0,0.0,0.0,0.0
2022-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,270.0,450.0,588.0,668.0,682.0,626.0,511.0,347.0,156.0,12.0,0.0,0.0,0.0,0.0
2022-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,276.0,456.0,592.0,671.0,684.0,630.0,514.0,347.0,155.0,12.0,0.0,0.0,0.0,0.0
2022-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,273.0,453.0,591.0,673.0,688.0,636.0,522.0,356.0,161.0,14.0,0.0,0.0,0.0,0.0
2022-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,285.0,469.0,609.0,691.0,706.0,650.0,534.0,367.0,168.0,15.0,0.0,0.0,0.0,0.0
2022-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,289.0,474.0,614.0,695.0,710.0,656.0,538.0,369.0,170.0,16.0,0.0,0.0,0.0,0.0
2022-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0,288.0,471.0,610.0,692.0,707.0,653.0,536.0,368.0,173.0,17.0,0.0,0.0,0.0,0.0
