"# hourly global horizontal irradiance (W/m2), Abu Dhabi area (Gulf desert) (24.45N 54.4E), 2023"
"# source: Open-Meteo ERA5 archive (open-meteo.com), CC-BY 4.0; local time Asia/Dubai"
date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,197.0,373.0,498.0,600.0,642.0,610.0,484.0,333.0,174.0,25.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,196.0,377.0,525.0,619.0,649.0,611.0,510.0,357.0,174.0,26.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,176.0,259.0,504.0,567.0,639.0,601.0,499.0,306.0,164.0,26.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,119.0,117.0,150.0,310.0,652.0,616.0,491.0,339.0,163.0,27.0,0.0,0.0,0.0,0.0,0.0
2023-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,172.0,330.0,519.0,595.0,648.0,614.0,493.0,301.0,146.0,24.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,172.0,324.0,412.0,527.0,604.0,599.0,519.0,359.0,178.0,27.0,0.0,0.0,0.0,0.0,0.0
2023-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,112.0,192.0,175.0,280.0,269.0,315.0,424.0,157.0,88.0,28.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,173.0,360.0,495.0,578.0,567.0,491.0,504.0,371.0,166.0,31.0,0.0,0.0,0.0,0.0,0.0
2023-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,191.0,373.0,514.0,602.0,638.0,616.0,524.0,372.0,189.0,34.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,197.0,382.0,536.0,636.0,670.0,634.0,448.0,228.0,170.0,29.0,0.0,0.0,0.0,0.0,0.0
