"# hourly global horizontal irradiance (W/m2), San Nicolas Island area (33.25N 119.5W), 2023"
"# source: Open-Meteo ERA5 archive (open-meteo.com), CC-BY 4.0; local time America/Los_Angeles"
date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,197.0,344.0,459.0,521.0,542.0,437.0,375.0,220.0,52.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,148.0,222.0,219.0,153.0,97.0,135.0,97.0,72.0,22.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,217.0,379.0,419.0,370.0,333.0,275.0,183.0,92.0,27.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,108.0,181.0,191.0,331.0,395.0,178.0,245.0,101.0,49.0,0.0,0.0,0.0,0.0,0.0
2023-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,101.0,307.0,480.0,550.0,532.0,477.0,363.0,224.0,62.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,214.0,375.0,501.0,569.0,575.0,516.0,399.0,239.0,68.0,0.0,0.0,0.0,0.0,0.0
2023-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,172.0,326.0,452.0,529.0,402.0,361.0,172.0,61.0,39.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,69.0,153.0,214.0,315.0,239.0,309.0,346.0,137.0,23.0,0.0,0.0,0.0,0.0,0.0
2023-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,76.0,161.0,216.0,171.0,152.0,149.0,90.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,42.0,166.0,440.0,400.0,425.0,435.0,320.0,204.0,48.0,0.0,0.0,0.0,0.0,0.0
2023-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,194.0,352.0,433.0,541.0,555.0,491.0,380.0,212.0,64.0,0.0,0.0,0.0,0.0,0.0
2023-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,159.0,279.0,375.0,456.0,458.0,459.0,366.0,218.0,71.0,0.0,0.0,0.0,0.0,0.0
2023-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,131.0,247.0,333.0,385.0,325.0,339.0,365.0,173.0,57.0,1.0,0.0,0.0,0.0,0.0
2023-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,27.0,50.0,59.0,93.0,86.0,82.0,51.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0
2023-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,93.0,273.0,363.0,370.0,447.0,228.0,112.0,52.0,12.0,0.0,0.0,0.0,0.0,0.0
2023-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,199.0,355.0,481.0,567.0,582.0,520.0,407.0,250.0,86.0,1.0,0.0,0.0,0.0,0.0
2023-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,215.0,380.0,496.0,590.0,583.0,544.0,441.0,278.0,97.0,2.0,0.0,0.0,0.0,0.0
2023-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,209.0,360.0,472.0,549.0,572.0,497.0,399.0,243.0,75.0,2.0,0.0,0.0,0.0,0.0
2023-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,224.0,392.0,516.0,580.0,552.0,401.0,214.0,278.0,99.0,2.0,0.0,0.0,0.0,0.0
2023-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,236.0,410.0,543.0,616.0,623.0,565.0,446.0,285.0,107.0,3.0,0.0,0.0,0.0,0.0
2023-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,238.0,412.0,544.0,619.0,631.0,578.0,463.0,298.0,112.0,3.0,0.0,0.0,0.0,0.0
2023-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,226.0,403.0,542.0,612.0,619.0,572.0,459.0,293.0,109.0,3.0,0.0,0.0,0.0,0.0
2023-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,245.0,419.0,554.0,631.0,642.0,588.0,472.0,308.0,118.0,4.0,0.0,0.0,0.0,0.0
2023-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,246.0,422.0,557.0,634.0,646.0,592.0,476.0,311.0,122.0,5.0,0.0,0.0,0.0,0.0
2023-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,246.0,422.0,554.0,631.0,641.0,588.0,474.0,311.0,124.0,5.0,0.0,0.0,0.0,0.0
2023-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,248.0,425.0,561.0,639.0,654.0,601.0,484.0,319.0,129.0,6.0,0.0,0.0,0.0,0.0
2023-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,251.0,430.0,565.0,643.0,656.0,603.0,489.0,323.0,132.0,6.0,0.0,0.0,0.0,0.0
2023-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,160.0,198.0,287.0,474.0,625.0,601.0,473.0,291.0,114.0,6.0,0.0,0.0,0.0,0.0
2023-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,217.0,346.0,447.0,438.0,433.0,460.0,217.0,139.0,33.0,2.0,0.0,0.0,0.0,0.0
2023-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,171.0,413.0,528.0,487.0,545.0,519.0,406.0,214.0,134.0,8.0,0.0,0.0,0.0,0.0
2023-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,259.0,438.0,575.0,653.0,664.0,613.0,505.0,345.0,149.0,10.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,270.0,453.0,592.0,673.0,686.0,630.0,512.0,344.0,150.0,10.0,0.0,0.0,0.0,0.0
2023-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,229.0,368.0,464.0,539.0,590.0,438.0,323.0,199.0,91.0,8.0,0.0,0.0,0.0,0.0
2023-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,240.0,443.0,575.0,665.0,679.0,622.0,465.0,250.0,77.0,11.0,0.0,0.0,0.0,0.0
2023-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,269.0,426.0,581.0,657.0,670.0,606.0,498.0,335.0,134.0,12.0,0.0,0.0,0.0,0.0
2023-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,272.0,449.0,584.0,666.0,682.0,630.0,513.0,348.0,159.0,14.0,0.0,0.0,0.0,0.0
2023-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,283.0,465.0,605.0,687.0,703.0,651.0,534.0,364.0,168.0,16.0,0.0,0.0,0.0,0.0
2023-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0,289.0,472.0,611.0,690.0,705.0,651.0,533.0,366.0,169.0,17.0,0.0,0.0,0.0,0.0
2023-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,94.0,288.0,469.0,608.0,689.0,704.0,651.0,535.0,368.0,172.0,18.0,0.0,0.0,0.0,0.0
2023-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,291.0,474.0,613.0,693.0,708.0,655.0,540.0,373.0,175.0,19.0,0.0,0.0,0.0,0.0
2023-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,298.0,480.0,595.0,676.0,690.0,633.0,516.0,356.0,143.0,16.0,0.0,0.0,0.0,0.0
2023-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104.0,305.0,489.0,627.0,708.0,728.0,613.0,450.0,321.0,132.0,17.0,0.0,0.0,0.0,0.0
2023-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0,275.0,441.0,605.0,689.0,703.0,629.0,522.0,331.0,177.0,18.0,0.0,0.0,0.0,0.0
2023-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,97.0,262.0,472.0,586.0,675.0,697.0,650.0,519.0,345.0,157.0,17.0,0.0,0.0,0.0,0.0
2023-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,70.0,165.0,320.0,374.0,669.0,729.0,682.0,561.0,392.0,192.0,26.0,0.0,0.0,0.0,0.0
2023-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,120.0,327.0,515.0,660.0,746.0,764.0,708.0,587.0,413.0,203.0,28.0,0.0,0.0,0.0,0.0
2023-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,92.0,289.0,459.0,586.0,631.0,565.0,523.0,443.0,317.0,155.0,21.0,0.0,0.0,0.0,0.0
2023-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0,171.0,331.0,494.0,579.0,608.0,569.0,507.0,397.0,195.0,26.0,0.0,0.0,0.0,0.0
2023-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,119.0,259.0,469.0,427.0,464.0,501.0,506.0,512.0,379.0,200.0,32.0,0.0,0.0,0.0,0.0
2023-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,129.0,336.0,524.0,665.0,745.0,757.0,697.0,578.0,407.0,206.0,24.0,0.0,0.0,0.0,0.0
2023-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,129.0,331.0,516.0,656.0,736.0,749.0,696.0,578.0,409.0,209.0,34.0,0.0,0.0,0.0,0.0
2023-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,134.0,337.0,516.0,654.0,704.0,693.0,643.0,510.0,185.0,61.0,12.0,0.0,0.0,0.0,0.0
2023-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,105.0,322.0,493.0,597.0,684.0,694.0,588.0,524.0,360.0,199.0,34.0,0.0,0.0,0.0,0.0
2023-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,71.0,285.0,384.0,534.0,674.0,729.0,675.0,542.0,392.0,193.0,38.0,0.0,0.0,0.0,0.0
2023-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,41.0,136.0,94.0,366.0,158.0,93.0,115.0,129.0,70.0,85.0,7.0,0.0,0.0,0.0,0.0
2023-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,138.0,300.0,487.0,600.0,626.0,665.0,548.0,407.0,316.0,174.0,33.0,0.0,0.0,0.0,0.0
2023-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,145.0,257.0,489.0,663.0,756.0,727.0,505.0,545.0,432.0,182.0,27.0,0.0,0.0,0.0,0.0
2023-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,64.0,120.0,174.0,200.0,250.0,359.0,274.0,201.0,412.0,203.0,44.0,0.0,0.0,0.0,0.0
2023-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,152.0,353.0,532.0,681.0,759.0,777.0,726.0,589.0,347.0,52.0,17.0,0.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,54.0,153.0,452.0,500.0,602.0,713.0,716.0,619.0,453.0,249.0,51.0,0.0,0.0,0.0,0.0
2023-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,177.0,390.0,585.0,727.0,808.0,819.0,762.0,639.0,462.0,250.0,54.0,0.0,0.0,0.0,0.0
2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,175.0,385.0,574.0,714.0,795.0,809.0,755.0,635.0,459.0,249.0,54.0,0.0,0.0,0.0,0.0
2023-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,120.0,215.0,379.0,513.0,510.0,464.0,484.0,527.0,431.0,244.0,47.0,0.0,0.0,0.0,0.0
2023-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,105.0,216.0,262.0,307.0,398.0,734.0,605.0,290.0,317.0,172.0,36.0,0.0,0.0,0.0,0.0
2023-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,176.0,373.0,535.0,666.0,687.0,758.0,744.0,574.0,433.0,209.0,48.0,0.0,0.0,0.0,0.0
2023-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,202.0,419.0,610.0,752.0,831.0,839.0,777.0,654.0,476.0,263.0,63.0,0.0,0.0,0.0,0.0
2023-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,149.0,205.0,375.0,641.0,764.0,816.0,730.0,608.0,442.0,258.0,63.0,0.0,0.0,0.0,0.0
2023-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,188.0,402.0,588.0,724.0,802.0,812.0,753.0,573.0,400.0,242.0,62.0,0.0,0.0,0.0,0.0
2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,106.0,164.0,208.0,330.0,121.0,326.0,249.0,232.0,97.0,20.0,0.0,0.0,0.0,0.0
2023-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,53.0,136.0,204.0,382.0,479.0,425.0,325.0,223.0,157.0,132.0,27.0,0.0,0.0,0.0,0.0
2023-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,98.0,197.0,286.0,364.0,478.0,403.0,478.0,394.0,326.0,125.0,32.0,0.0,0.0,0.0,0.0
2023-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,112.0,226.0,370.0,418.0,431.0,462.0,351.0,361.0,307.0,182.0,36.0,0.0,0.0,0.0,0.0
2023-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,71.0,79.0,83.0,184.0,151.0,130.0,115.0,77.0,27.0,13.0,0.0,0.0,0.0,0.0
2023-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,98.0,290.0,356.0,476.0,753.0,840.0,755.0,665.0,498.0,242.0,62.0,0.0,0.0,0.0,0.0
2023-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,97.0,214.0,266.0,460.0,523.0,599.0,480.0,416.0,419.0,247.0,68.0,0.0,0.0,0.0,0.0
2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,208.0,411.0,610.0,762.0,846.0,844.0,792.0,678.0,509.0,291.0,77.0,0.0,0.0,0.0,0.0
2023-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,246.0,460.0,644.0,783.0,816.0,768.0,717.0,471.0,292.0,149.0,35.0,0.0,0.0,0.0,0.0
2023-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,48.0,112.0,180.0,153.0,173.0,189.0,246.0,209.0,228.0,66.0,33.0,0.0,0.0,0.0,0.0
2023-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,205.0,343.0,433.0,665.0,642.0,635.0,617.0,255.0,218.0,81.0,17.0,0.0,0.0,0.0,0.0
2023-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,242.0,370.0,642.0,794.0,818.0,313.0,353.0,335.0,327.0,252.0,81.0,0.0,0.0,0.0,0.0
2023-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,175.0,281.0,530.0,602.0,791.0,743.0,757.0,636.0,490.0,280.0,77.0,0.0,0.0,0.0,0.0
2023-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,232.0,446.0,621.0,755.0,873.0,884.0,823.0,701.0,520.0,311.0,97.0,1.0,0.0,0.0,0.0
2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,279.0,498.0,688.0,827.0,907.0,913.0,853.0,722.0,536.0,316.0,100.0,1.0,0.0,0.0,0.0
2023-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,289.0,508.0,697.0,834.0,909.0,915.0,850.0,720.0,537.0,321.0,104.0,1.0,0.0,0.0,0.0
2023-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,286.0,504.0,697.0,832.0,903.0,902.0,837.0,704.0,533.0,319.0,104.0,1.0,0.0,0.0,0.0
2023-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,285.0,462.0,663.0,832.0,899.0,911.0,841.0,715.0,535.0,322.0,107.0,2.0,0.0,0.0,0.0
2023-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,300.0,516.0,701.0,835.0,905.0,908.0,843.0,714.0,534.0,314.0,104.0,2.0,0.0,0.0,0.0
2023-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,70.0,100.0,522.0,817.0,866.0,882.0,837.0,718.0,535.0,316.0,100.0,1.0,0.0,0.0,0.0
2023-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,229.0,419.0,612.0,824.0,906.0,912.0,848.0,719.0,519.0,298.0,110.0,2.0,0.0,0.0,0.0
2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,309.0,524.0,703.0,756.0,766.0,627.0,521.0,432.0,195.0,115.0,19.0,1.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104.0,319.0,538.0,723.0,857.0,928.0,931.0,865.0,735.0,554.0,337.0,118.0,3.0,0.0,0.0,0.0
2023-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,105.0,318.0,531.0,713.0,846.0,916.0,916.0,849.0,720.0,539.0,323.0,113.0,3.0,0.0,0.0,0.0
2023-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,111.0,328.0,543.0,734.0,877.0,957.0,958.0,890.0,757.0,566.0,347.0,125.0,4.0,0.0,0.0,0.0
2023-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,118.0,338.0,559.0,746.0,879.0,948.0,951.0,883.0,748.0,562.0,335.0,117.0,4.0,0.0,0.0,0.0
2023-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,117.0,332.0,547.0,731.0,861.0,929.0,931.0,864.0,722.0,547.0,293.0,83.0,3.0,0.0,0.0,0.0
2023-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,124.0,342.0,556.0,736.0,866.0,935.0,938.0,873.0,743.0,561.0,348.0,129.0,5.0,0.0,0.0,0.0
2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,124.0,338.0,552.0,729.0,851.0,918.0,927.0,859.0,731.0,551.0,337.0,120.0,5.0,0.0,0.0,0.0
2023-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,95.0,320.0,528.0,708.0,834.0,911.0,914.0,848.0,708.0,475.0,185.0,60.0,2.0,0.0,0.0,0.0
2023-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,64.0,155.0,292.0,464.0,536.0,732.0,677.0,732.0,684.0,521.0,340.0,129.0,5.0,0.0,0.0,0.0
2023-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,135.0,349.0,560.0,738.0,866.0,933.0,934.0,867.0,738.0,562.0,336.0,114.0,4.0,0.0,0.0,0.0
2023-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,71.0,228.0,493.0,630.0,763.0,903.0,892.0,822.0,733.0,549.0,315.0,121.0,6.0,0.0,0.0,0.0
2023-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,120.0,279.0,342.0,331.0,496.0,571.0,605.0,497.0,555.0,532.0,248.0,89.0,6.0,0.0,0.0,0.0
2023-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,128.0,352.0,581.0,766.0,893.0,955.0,951.0,882.0,751.0,569.0,349.0,138.0,7.0,0.0,0.0,0.0
2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,129.0,333.0,548.0,735.0,875.0,905.0,925.0,881.0,752.0,572.0,359.0,142.0,8.0,0.0,0.0,0.0
2023-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,92.0,222.0,367.0,561.0,629.0,824.0,885.0,841.0,732.0,561.0,356.0,141.0,8.0,0.0,0.0,0.0
2023-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,117.0,311.0,526.0,691.0,767.0,843.0,866.0,812.0,727.0,554.0,368.0,147.0,9.0,0.0,0.0,0.0
2023-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,117.0,278.0,418.0,598.0,754.0,751.0,902.0,840.0,750.0,581.0,369.0,149.0,10.0,0.0,0.0,0.0
2023-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,169.0,388.0,602.0,776.0,906.0,974.0,973.0,910.0,781.0,598.0,383.0,157.0,11.0,0.0,0.0,0.0
2023-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,177.0,397.0,611.0,792.0,921.0,984.0,980.0,910.0,778.0,593.0,376.0,155.0,11.0,0.0,0.0,0.0
