eps,k,n_tasks,points,pv,ratio,solar_batteries,solar_gap_pct,solar_total,surplus_mwh,traction_mwh,v2g_batteries,v2g_gap_pct,v2g_total,v2g_vs_solar_pct
2.0,0,102,3,1.11,0.25,0,0.888,17771.7,5.1,20.4,1,0.328,17649.8,0.69
1.5,1,68,4,1.41,0.873,0,2.413,11398.8,8.9,10.2,6,0.456,10262.5,9.97
2.5,2,109,3,1.81,0.517,0,1.424,17203.8,14.1,27.2,2,0.434,17012.7,1.11
0.5,3,145,4,2.93,4.11,0,1.875,13329.4,29.8,7.2,26,0.696,3969.0,70.22
2.0,4,115,4,1.23,0.291,0,0.715,19582.8,6.7,23.0,1,0.186,19479.0,0.53
1.0,5,160,2,3.14,2.056,0,2.852,15951.8,32.9,16.0,38,3.125,7172.1,55.04
0.5,6,62,3,1.1,1.613,0,1.227,9781.9,5.0,3.1,1,0.433,8440.4,13.71
2.0,7,32,2,1.76,2.109,0,-0.0,8552.2,13.5,6.4,15,0.485,5297.6,38.06
1.5,8,145,2,1.35,0.377,0,5.555,19177.7,8.2,21.8,3,2.125,18241.5,4.88
2.5,9,116,4,1.82,0.493,0,1.67,18669.5,14.3,29.0,1,0.379,18263.4,2.18
1.5,10,66,2,1.18,0.616,0,3.228,11308.6,6.1,9.9,3,1.152,10808.6,4.42
1.0,11,98,2,2.86,2.939,0,2.622,12014.1,28.8,9.8,29,1.321,3843.3,68.01
2.5,12,168,4,1.28,0.171,0,0.8,29383.7,7.2,42.0,0,0.537,29306.0,0.26
1.0,13,26,2,1.25,2.692,0,0.0,8886.2,7.0,2.6,2,0.318,6381.9,28.18
2.5,14,31,3,2.92,3.845,0,0.001,8467.6,29.8,7.8,26,1.237,1713.8,79.76
1.0,15,158,4,1.14,0.342,0,2.856,17511.1,5.4,15.8,3,1.107,16823.0,3.93
0.5,16,31,4,1.05,2.839,0,0.725,8271.0,4.4,1.6,3,0.368,7020.8,15.12
1.5,17,67,2,1.05,0.438,0,2.316,12953.8,4.4,10.1,1,0.327,12441.1,3.96
1.5,18,165,4,0.84,0.081,0,1.147,23118.5,2.0,24.8,0,1.285,23150.8,-0.14
2.5,19,29,4,2.81,3.876,0,0.0,8842.4,28.1,7.2,24,0.647,1596.6,81.94
0.5,20,36,2,3.19,18.667,0,0.0,7546.1,33.6,1.8,16,0.033,1351.0,82.1
0.5,21,180,2,1.49,1.1,0,3.855,16080.2,9.9,9.0,1,0.278,13221.0,17.78
1.5,22,132,4,2.97,1.535,0,3.272,15127.2,30.4,19.8,29,1.649,8259.4,45.4
2.5,23,101,4,3.23,1.354,0,0.383,15673.3,34.2,25.2,24,0.559,8530.5,45.57
2.0,24,149,2,2.18,0.644,0,3.725,18925.2,19.2,29.8,7,0.886,17443.8,7.83
1.0,25,160,2,1.42,0.569,0,5.55,16461.4,9.1,16.0,3,2.086,15322.7,6.92
1.5,26,161,4,1.39,0.364,0,2.419,20263.5,8.8,24.1,2,0.601,19638.6,3.08
2.0,27,34,4,1.86,2.176,0,1.433,8722.4,14.8,6.8,17,0.61,5055.2,42.04
2.5,28,118,3,2.65,0.878,0,1.491,16769.7,25.9,29.5,10,1.122,13920.5,16.99
0.5,29,47,3,3.12,13.83,0,-0.0,7811.4,32.5,2.4,15,0.607,1361.1,82.58
2.5,30,144,2,1.42,0.253,0,0.935,25136.7,9.1,36.0,0,0.445,25013.1,0.49
1.5,31,132,2,2.39,1.121,0,3.915,15967.2,22.2,19.8,18,0.826,11080.1,30.61
0.5,32,32,3,1.07,2.812,0,0.5,7995.9,4.5,1.6,2,0.462,6736.2,15.75
2.0,33,137,3,2.3,0.763,0,3.115,16854.4,20.9,27.4,7,0.084,15565.1,7.65
1.5,34,39,2,2.2,3.333,0,0.727,8257.1,19.5,5.8,21,1.028,2861.7,65.34
1.0,35,66,4,1.39,1.333,0,1.525,10817.9,8.8,6.6,7,0.174,8908.1,17.65
1.0,36,89,2,3.01,3.483,0,2.532,11453.8,31.0,8.9,23,6.204,2735.7,76.12
1.0,37,53,4,2.12,3.491,0,0.614,9777.4,18.5,5.3,19,1.507,4354.4,55.46
0.5,38,64,2,2.31,6.594,0,1.915,8876.8,21.1,3.2,20,6.478,2161.4,75.65
1.5,39,109,4,3.02,1.908,0,2.983,13410.9,31.2,16.4,31,1.939,5584.3,58.36
1.0,40,51,3,2.58,4.863,0,1.109,9017.1,24.8,5.1,18,0.945,1695.7,81.19
2.5,41,108,3,2.2,0.722,0,1.999,15758.9,19.5,27.0,3,0.581,14455.5,8.27
0.5,42,156,3,2.19,2.487,0,5.88,13434.5,19.4,7.8,11,1.275,7489.3,44.25
