trips,batteries,cg_iters,cg_s,cols,eps,feasible,fuel_gal,fuel_kwh,fuel_units,gap_pct,lp_obj,milp_s,mip_obj,points,pricing_pct,pricing_s,scenario,trucks
20,0,5,0.08,28,1.5,True,603.03,19900.0,199.0,0.0,1115.0,0.01,1115.0,2,64.5,0.05,vsp,6
20,0,24,0.19,72,1.5,True,593.94,19600.0,196.0,-0.0,1431.1,0.02,1431.1,2,56.3,0.11,solar,10
20,0,19,0.21,67,1.5,True,593.94,19600.0,196.0,0.0,1431.1,0.03,1431.1,2,49.3,0.1,v2g,10
60,0,45,0.41,116,1.5,True,784.85,25900.0,259.0,0.0,1655.0,0.01,1655.0,3,47.2,0.19,vsp,18
60,0,50,0.51,146,1.5,True,824.24,27200.0,272.0,1.106,2683.3,0.06,2713.3,3,47.5,0.24,solar,30
60,0,51,0.69,147,1.5,True,830.3,27400.0,274.0,1.469,2683.3,0.07,2723.3,3,38.6,0.27,v2g,30
120,0,94,1.02,237,1.5,True,1057.58,34900.0,349.0,0.0,2465.0,0.02,2465.0,4,41.1,0.42,vsp,36
120,0,92,1.04,260,1.5,True,1206.06,39800.0,398.0,0.213,4686.6,0.06,4696.6,4,42.8,0.45,solar,60
120,0,85,1.23,253,1.5,True,1206.06,39800.0,398.0,0.213,4686.6,0.08,4696.6,4,33.5,0.41,v2g,60
20,0,5,0.06,28,2.0,True,633.33,20900.0,209.0,0.0,1115.0,0.01,1115.0,2,66.6,0.04,vsp,6
20,0,22,0.14,70,2.0,True,624.24,20600.0,206.0,-0.0,1571.35,0.02,1571.35,2,57.1,0.08,solar,12
20,0,27,0.2,75,2.0,True,624.24,20600.0,206.0,-0.0,1571.35,0.03,1571.35,2,46.2,0.09,v2g,12
60,0,45,0.32,116,2.0,True,875.76,28900.0,289.0,0.0,1655.0,0.01,1655.0,3,47.3,0.15,vsp,18
60,0,57,0.46,153,2.0,True,898.48,29650.0,296.5,0.08,3104.05,0.04,3106.55,3,48.7,0.22,solar,36
60,0,47,0.5,143,2.0,True,896.97,29600.0,296.0,0.03,3104.05,0.05,3104.98,3,40.7,0.2,v2g,36
120,0,94,0.91,237,2.0,True,1239.39,40900.0,409.0,0.0,2465.0,0.02,2465.0,4,41.8,0.38,vsp,36
120,0,63,0.73,231,2.0,True,1381.82,45600.0,456.0,0.0,5528.1,0.04,5528.1,4,44.8,0.33,solar,72
120,0,54,0.76,222,2.0,True,1381.82,45600.0,456.0,0.0,5528.1,0.05,5528.1,4,38.6,0.29,v2g,72
20,0,5,0.06,28,2.5,True,663.64,21900.0,219.0,0.0,1115.0,0.01,1115.0,2,66.8,0.04,vsp,6
20,0,17,0.12,65,2.5,True,648.48,21400.0,214.0,-0.0,1656.63,0.02,1656.62,2,57.6,0.07,solar,13
20,0,16,0.15,64,2.5,True,650.0,21450.0,214.5,0.151,1656.63,0.04,1659.12,2,51.4,0.08,v2g,13
60,0,45,0.32,116,2.5,True,966.67,31900.0,319.0,0.0,1655.0,0.01,1655.0,3,47.1,0.15,vsp,18
60,0,28,0.27,124,2.5,True,990.91,32700.0,327.0,1.308,3394.88,0.05,3439.88,3,48.6,0.13,solar,40
60,0,27,0.33,123,2.5,True,990.91,32700.0,327.0,-0.0,3394.88,0.03,3394.88,3,41.6,0.14,v2g,39
120,0,94,0.91,237,2.5,True,1421.21,46900.0,469.0,0.0,2465.0,0.02,2465.0,4,41.9,0.38,vsp,36
120,0,68,0.82,236,2.5,True,1581.82,52200.0,522.0,0.729,6129.75,0.16,6174.75,4,41.3,0.34,solar,79
120,0,63,1.19,231,2.5,True,1583.33,52250.0,522.5,0.054,6129.75,0.22,6133.09,4,33.4,0.4,v2g,78
