c_g,pv,rho,c_b,scenario,trips,feasible,trucks,batteries,fuel_kwh,gen_cost,truck_cost,batt_cost,other_cost,total_cost,lp_obj,mip_obj,gap_pct,cg_s
20.0,1.0,0.5,26.0,vsp,60,True,18,0,28900.0,5780.0,810.0,0.0,0.0,6590.0,4190.0,4190.0,0.0,0.32
20.0,1.0,0.5,26.0,solar,60,True,36,0,29600.0,5920.0,1620.0,0.0,4.0,7544.0,7544.05,7544.0,0.0,0.41
20.0,1.0,0.5,26.0,v2g,60,True,36,2,29400.0,5880.0,1620.0,52.0,4.2,7556.2,7544.05,7556.2,0.161,0.52
20.0,1.0,0.5,36.0,vsp,60,True,18,0,28900.0,5780.0,810.0,0.0,0.0,6590.0,4190.0,4190.0,0.0,0.32
20.0,1.0,0.5,36.0,solar,60,True,36,0,29600.0,5920.0,1620.0,0.0,4.0,7544.0,7544.05,7544.0,0.0,0.41
20.0,1.0,0.5,36.0,v2g,60,True,36,0,29600.0,5920.0,1620.0,0.0,4.4,7544.4,7544.05,7544.4,0.004,0.62
20.0,1.0,0.5,51.0,vsp,60,True,18,0,28900.0,5780.0,810.0,0.0,0.0,6590.0,4190.0,4190.0,0.0,0.32
20.0,1.0,0.5,51.0,solar,60,True,36,0,29600.0,5920.0,1620.0,0.0,4.0,7544.0,7544.05,7544.0,0.0,0.41
20.0,1.0,0.5,51.0,v2g,60,True,36,0,29650.0,5930.0,1620.0,0.0,4.7,7554.7,7544.05,7554.7,0.141,0.45
20.0,1.0,1.75,26.0,vsp,60,True,18,0,28900.0,5780.0,810.0,0.0,0.0,6590.0,4190.0,4190.0,0.0,0.32
20.0,1.0,1.75,26.0,solar,60,True,30,0,29000.0,5800.0,1350.0,0.0,3.9,7153.9,7099.6,7153.9,0.759,0.71
20.0,1.0,1.75,26.0,v2g,60,True,30,0,28600.0,5720.0,1350.0,0.0,4.9,7074.9,7034.95,7074.9,0.565,2.52
20.0,1.0,1.75,36.0,vsp,60,True,18,0,28900.0,5780.0,810.0,0.0,0.0,6590.0,4190.0,4190.0,0.0,0.32
20.0,1.0,1.75,36.0,solar,60,True,30,0,29000.0,5800.0,1350.0,0.0,3.9,7153.9,7099.6,7153.9,0.759,0.71
20.0,1.0,1.75,36.0,v2g,60,True,30,0,28500.0,5700.0,1350.0,0.0,5.7,7055.7,7034.95,7055.7,0.294,2.74
20.0,1.0,1.75,51.0,vsp,60,True,18,0,28900.0,5780.0,810.0,0.0,0.0,6590.0,4190.0,4190.0,0.0,0.32
20.0,1.0,1.75,51.0,solar,60,True,30,0,29000.0,5800.0,1350.0,0.0,3.9,7153.9,7099.6,7153.9,0.759,0.71
20.0,1.0,1.75,51.0,v2g,60,True,30,0,28600.0,5720.0,1350.0,0.0,5.0,7075.0,7034.95,7075.0,0.566,2.4
20.0,2.0,0.5,26.0,vsp,60,True,18,0,27200.0,5440.0,810.0,0.0,0.0,6250.0,3850.0,3850.0,0.0,0.32
