profile,pv,ratio,solar_batteries,solar_gap_pct,solar_total,surplus_mwh,v2g_batteries,v2g_gap_pct,v2g_total,v2g_vs_solar_pct
original,1.0,0.308,0,0.838,12953.9,3.7,1,0.597,12791.4,1.25
original,1.5,0.842,0,0.879,11374.0,10.1,5,0.53,10017.4,11.93
original,2.0,1.383,0,0.767,11079.1,16.6,13,0.621,7468.2,32.59
original,2.5,1.958,0,0.367,10914.0,23.5,22,0.317,4915.7,54.96
original,3.0,2.55,0,-0.0,10714.0,30.6,26,0.457,2302.0,78.51
solar_early,1.0,0.308,0,1.245,13069.0,3.7,0,0.678,12815.2,1.94
solar_early,1.5,0.825,0,0.923,11379.1,9.9,3,0.427,10086.5,11.36
solar_early,2.0,1.375,0,0.0,10954.1,16.5,13,0.689,7468.0,31.82
solar_early,2.5,1.95,0,-0.0,10754.0,23.4,21,0.505,4839.4,55.0
solar_early,3.0,2.525,0,-0.0,10594.0,30.3,27,2.676,2338.5,77.93
demand_late,1.0,0.308,0,1.085,12993.9,3.7,1,0.595,12791.0,1.56
demand_late,1.5,0.825,0,0.879,11374.0,9.9,3,0.321,10066.2,11.5
demand_late,2.0,1.375,0,0.86,11049.1,16.5,12,0.211,7432.3,32.73
demand_late,2.5,1.95,0,-0.0,10754.0,23.4,22,0.427,4835.6,55.03
demand_late,3.0,2.525,0,-0.0,10594.0,30.3,27,2.661,2338.1,77.93
flat_demand,1.0,0.375,0,0.868,13373.9,4.5,1,0.792,13191.2,1.37
flat_demand,1.5,0.925,0,0.166,12014.0,11.1,4,0.253,10362.5,13.75
flat_demand,2.0,1.45,0,1.311,11829.1,17.4,12,0.115,7832.4,33.79
flat_demand,2.5,2.05,0,0.39,11559.1,24.6,24,0.623,5189.6,55.1
flat_demand,3.0,2.625,0,-0.0,11434.0,31.5,34,1.33,2711.6,76.28
wide_solar,1.0,0.192,0,0.692,12813.9,2.3,1,0.906,12790.1,0.19
wide_solar,1.5,0.633,0,2.816,10654.0,7.6,1,0.67,9992.3,6.21
wide_solar,2.0,1.183,0,0.59,10174.0,14.2,9,0.362,7404.0,27.23
wide_solar,2.5,1.75,0,0.0,9874.1,21.0,17,0.083,4774.3,51.65
wide_solar,3.0,2.317,0,-0.0,9634.0,27.8,22,0.94,2203.0,77.13
