points,pv,ratio,solar_batteries,solar_cg_iters,solar_cg_s,solar_feasible,solar_fuel_kwh,solar_gap_pct,solar_milp_s,solar_mult,solar_total_cost,solar_trucks,surplus_mwh,traction_mwh,trips,v2g_batteries,v2g_cg_iters,v2g_cg_s,v2g_feasible,v2g_fuel_kwh,v2g_gap_pct,v2g_milp_s,v2g_total_cost,v2g_trucks,v2g_vs_solar_pct,v2g_vs_vsp_pct,vsp_batteries,vsp_cg_iters,vsp_cg_s,vsp_feasible,vsp_fuel_kwh,vsp_gap_pct,vsp_milp_s,vsp_total_cost,vsp_trucks
2,1.0,0.325,0,48,0.4,True,9450.0,1.554,0.0,2.33,4231.3,10,1.3,4.0,20,1,74,1.0,True,9200.0,1.188,0.1,4167.9,10,1.5,-3.42,0,5,0.1,True,9400.0,0.0,0.0,4030.0,6
2,2.0,1.375,0,18,0.1,True,7900.0,0.0,0.0,2.33,3611.3,10,5.5,4.0,20,4,31,0.3,True,4600.0,0.213,0.0,2437.4,10,32.51,36.36,0,5,0.1,True,8900.0,0.0,0.0,3830.0,6
2,3.0,2.575,0,23,0.2,True,7800.0,0.0,0.0,2.33,3571.3,10,10.3,4.0,20,9,37,0.3,True,0.0,1.989,0.0,779.3,10,78.18,79.44,0,5,0.1,True,8800.0,0.0,0.0,3790.0,6
3,1.0,0.308,0,83,0.7,True,29000.0,0.838,0.2,7.0,12953.9,30,3.7,12.0,60,1,103,1.3,True,28500.0,0.597,0.2,12791.4,30,1.25,-3.41,0,45,0.3,True,28900.0,0.0,0.0,12370.0,18
3,2.0,1.4,0,55,0.5,True,24200.0,-0.0,0.0,7.0,11034.0,30,16.8,12.0,60,15,71,0.8,True,13800.0,0.386,0.1,7420.9,30,32.75,36.52,0,45,0.3,True,27200.0,0.0,0.0,11690.0,18
3,3.0,2.575,0,51,0.5,True,23750.0,0.184,0.0,7.0,10854.0,30,30.9,12.0,60,27,80,0.9,True,0.0,1.324,0.1,2338.0,30,78.46,79.65,0,45,0.3,True,26700.0,0.0,0.0,11490.0,18
4,1.0,0.312,0,120,1.5,True,57600.0,0.666,0.3,14.0,25747.8,60,7.5,24.0,120,1,216,4.2,True,56700.0,0.463,2.3,25427.6,60,1.24,-3.11,0,94,0.9,True,57600.0,0.0,0.0,24660.0,36
4,2.0,1.396,0,96,1.2,True,48425.0,0.43,0.1,14.0,22123.1,61,33.5,24.0,120,27,121,1.9,True,28000.0,0.762,0.3,14892.7,60,32.68,36.19,0,94,0.9,True,54300.0,0.0,0.0,23340.0,36
4,3.0,2.571,0,95,1.1,True,47350.0,0.874,0.2,14.0,21738.2,62,61.7,24.0,120,54,150,2.2,True,0.0,1.686,0.9,4677.4,60,78.48,79.54,0,94,0.9,True,53100.0,0.0,0.0,22860.0,36
5,1.0,0.31,0,283,5.6,True,98250.0,0.577,96.8,23.33,43813.5,100,12.4,40.0,200,1,366,11.2,True,97025.0,0.252,17.0,43363.9,100,1.03,-5.3,0,177,2.6,True,96200.0,-0.0,0.0,41180.0,60
5,2.0,1.397,0,178,2.9,True,83700.0,1.287,2.7,23.33,38084.4,102,55.9,40.0,200,43,228,5.0,True,49600.0,0.951,12.0,25967.6,101,31.82,33.38,0,177,2.6,True,90700.0,-0.0,0.0,38980.0,60
5,3.0,2.57,0,160,2.6,True,80775.0,0.65,1.1,23.33,36914.3,102,102.8,40.0,200,111,208,4.3,True,200.0,1.852,2.8,8636.0,100,76.61,77.31,0,177,2.6,True,88400.0,-0.0,0.0,38060.0,60
6,1.0,0.31,0,433,13.4,True,149100.0,0.602,300.3,35.0,66545.9,153,18.6,60.0,300,2,549,28.4,True,148050.0,0.242,300.2,66067.9,150,0.72,-5.79,0,309,9.8,True,144200.0,1.873,14.6,62450.0,106
6,2.0,1.397,0,262,6.0,True,127300.0,1.585,100.6,35.0,58052.4,158,83.8,60.0,300,68,310,9.3,True,76600.0,0.96,44.8,40026.4,153,31.05,32.31,0,309,9.9,True,135900.0,2.05,14.1,59130.0,106
6,3.0,2.572,0,252,5.6,True,123325.0,0.931,47.6,35.0,56417.3,157,154.3,60.0,300,171,300,8.9,True,2800.0,2.384,41.5,14201.6,152,74.83,75.47,0,309,9.9,True,132800.0,2.125,13.9,57890.0,106
7,1.0,0.312,0,655,33.1,True,211200.0,0.576,300.2,49.0,94004.8,211,26.2,84.0,420,3,727,57.1,True,210200.0,0.396,300.2,93760.6,212,0.26,-7.15,0,460,29.3,True,202000.0,1.92,300.1,87505.0,149
7,2.0,1.399,0,387,12.5,True,179500.0,1.35,300.2,49.0,81867.1,223,117.5,84.0,420,108,501,24.1,True,108700.0,0.747,300.2,57071.3,214,30.29,31.06,0,460,28.4,True,190200.0,2.104,300.1,82785.0,149
7,3.0,2.574,0,382,12.3,True,174625.0,0.928,300.2,49.0,79782.1,220,216.2,84.0,420,247,505,27.1,True,6000.0,1.833,300.2,20954.2,212,73.74,74.15,0,460,28.4,True,185900.0,2.181,300.1,81065.0,149
8,1.0,0.312,0,874,66.3,True,284950.0,0.732,300.3,65.33,126845.6,285,34.9,112.0,560,2,972,112.9,True,283750.0,0.439,300.3,126353.9,283,0.39,-7.59,0,617,71.9,True,269300.0,2.974,300.2,117440.0,216
8,2.0,1.398,0,566,29.0,True,240775.0,1.24,300.2,65.33,109763.6,298,156.6,112.0,560,148,777,64.3,True,148000.0,0.721,300.2,77406.8,284,29.48,30.34,0,617,70.4,True,253400.0,3.325,300.1,111125.0,217
8,3.0,2.572,0,522,24.7,True,234225.0,0.827,300.2,65.33,107008.5,295,288.1,112.0,560,332,735,68.4,True,11025.0,1.896,300.2,29353.6,285,72.57,73.03,0,617,70.6,True,247700.0,3.443,300.1,108845.0,217
