electrify_value,ev_batteries,ev_fuel_kwh,ev_gap_pct,ev_premium,ev_total,ev_trucks,ice_eff,points,pv,ratio,solar_batteries,solar_fuel_kwh,solar_gap_pct,solar_total,solar_trucks,solar_value,trips,v2g_batteries,v2g_fuel_kwh,v2g_gap_pct,v2g_total,v2g_trucks,v2g_value,vsp_batteries,vsp_fuel_kwh,vsp_gap_pct,vsp_total,vsp_trucks
8505.0,0,32200.0,0.268,1.5,14905.0,30,3.3,3,1.0,0.308,0,28950.0,0.651,13608.9,30,1296.1,60,1,28500.0,0.566,13466.2,30,142.7,0,56500.0,0.0,23410.0,18
8505.0,0,31400.0,0.274,1.5,14585.0,30,3.3,3,1.5,0.858,0,25550.0,1.47,12249.0,30,2336.0,60,4,21400.0,0.445,10737.5,30,1511.5,0,55700.0,0.0,23090.0,18
8505.0,0,30500.0,0.281,1.5,14225.0,30,3.3,3,2.0,1.4,0,24450.0,0.847,11809.0,30,2416.0,60,11,14100.0,0.048,8071.1,30,3737.9,0,54800.0,0.0,22730.0,18
8505.0,0,30200.0,0.284,1.5,14105.0,30,3.3,3,2.5,1.975,0,23950.0,0.172,11609.0,30,2496.0,60,23,6800.0,0.739,5586.8,30,6022.2,0,54500.0,0.0,22610.0,18
8505.0,0,30000.0,0.285,1.5,14025.0,30,3.3,3,3.0,2.575,0,23700.0,-0.0,11509.0,30,2516.0,60,27,0.0,1.032,3013.1,30,8495.9,0,54300.0,0.0,22530.0,18
2835.0,0,20300.0,0.152,1.5,8795.0,10,3.3,2,2.0,4.2,0,18200.0,0.0,7956.4,10,838.6,20,20,3600.0,0.0,2844.0,10,5112.4,0,28400.0,0.0,11630.0,6
17010.0,0,45800.0,0.358,1.5,22370.0,60,3.3,4,2.0,0.7,0,34425.0,3.841,18030.6,63,4339.4,120,1,29650.0,0.359,15959.3,60,2071.3,0,94400.0,0.0,39380.0,36
-1900.0,0,30600.0,0.589,1.0,13590.0,30,1.0,3,2.0,1.4,0,24200.0,-0.0,11034.0,30,2556.0,60,15,13800.0,0.386,7420.9,30,3613.1,0,27200.0,0.0,11690.0,18
2900.0,0,30600.0,0.589,1.0,13590.0,30,2.0,3,2.0,1.4,0,24200.0,-0.0,11034.0,30,2556.0,60,15,13800.0,0.386,7420.9,30,3613.1,0,39200.0,0.0,16490.0,18
9140.0,0,30600.0,0.589,1.0,13590.0,30,3.3,3,2.0,1.4,0,24200.0,-0.0,11034.0,30,2556.0,60,15,13800.0,0.386,7420.9,30,3613.1,0,54800.0,0.0,22730.0,18
-2535.0,0,30500.0,0.281,1.5,14225.0,30,1.0,3,2.0,1.4,0,24450.0,0.847,11809.0,30,2416.0,60,11,14100.0,0.048,8071.1,30,3737.9,0,27200.0,0.0,11690.0,18
2265.0,0,30500.0,0.281,1.5,14225.0,30,2.0,3,2.0,1.4,0,24450.0,0.847,11809.0,30,2416.0,60,11,14100.0,0.048,8071.1,30,3737.9,0,39200.0,0.0,16490.0,18
8505.0,0,30500.0,0.281,1.5,14225.0,30,3.3,3,2.0,1.4,0,24450.0,0.847,11809.0,30,2416.0,60,11,14100.0,0.048,8071.1,30,3737.9,0,54800.0,0.0,22730.0,18
-3250.0,0,30600.0,0.535,2.0,14940.0,30,1.0,3,2.0,1.4,0,24700.0,1.589,12584.1,30,2355.9,60,13,14000.0,0.411,8778.2,30,3805.9,0,27200.0,0.0,11690.0,18
1550.0,0,30600.0,0.535,2.0,14940.0,30,2.0,3,2.0,1.4,0,24700.0,1.589,12584.1,30,2355.9,60,13,14000.0,0.411,8778.2,30,3805.9,0,39200.0,0.0,16490.0,18
7790.0,0,30600.0,0.535,2.0,14940.0,30,3.3,3,2.0,1.4,0,24700.0,1.589,12584.1,30,2355.9,60,13,14000.0,0.411,8778.2,30,3805.9,0,54800.0,0.0,22730.0,18
