trips,batteries,cg_iters,cg_s,cols,eps,feasible,fuel_gal,fuel_kwh,fuel_units,gap_pct,lp_obj,milp_s,mip_obj,points,pricing_pct,pricing_s,scenario,trucks
20,0,5,0.05,28,1.5,True,603.03,19900.0,199.0,0.0,1115.0,0.01,1115.0,2,76.7,0.04,vsp,6
20,0,41,0.19,78,1.5,True,512.12,16900.0,169.0,0.0,1115.12,0.01,1115.12,2,47.8,0.09,solar,6
20,12,40,0.24,88,1.5,True,160.61,5300.0,53.0,0.005,970.8,0.08,970.85,2,40.1,0.1,v2g,6
60,0,45,0.28,116,1.5,True,784.85,25900.0,259.0,0.0,1655.0,0.01,1655.0,3,45.3,0.13,vsp,18
60,0,133,0.88,228,1.5,True,527.27,17400.0,174.0,1.488,1655.37,0.05,1680.38,3,36.3,0.32,solar,18
60,10,90,0.77,186,1.5,True,233.33,7700.0,77.0,0.178,1555.8,0.06,1558.58,3,35.1,0.27,v2g,18
120,0,94,0.83,237,1.5,True,1057.58,34900.0,349.0,0.0,2465.0,0.02,2465.0,4,36.9,0.31,vsp,36
120,0,244,2.68,412,1.5,True,560.61,18500.0,185.0,3.142,2465.75,0.63,2545.75,4,29.3,0.79,solar,36
120,10,190,2.68,358,1.5,True,278.79,9200.0,92.0,0.424,2433.3,0.15,2443.65,4,24.1,0.65,v2g,36
20,0,5,0.05,28,2.0,True,633.33,20900.0,209.0,0.0,1115.0,0.0,1115.0,2,50.0,0.03,vsp,6
20,0,55,0.24,99,2.0,True,512.12,16900.0,169.0,0.0,1115.4,0.02,1115.4,2,42.3,0.1,solar,6
20,10,48,0.28,96,2.0,True,236.36,7800.0,78.0,-0.0,1023.2,0.06,1023.2,2,42.1,0.12,v2g,6
60,0,45,0.22,116,2.0,True,875.76,28900.0,289.0,0.0,1655.0,0.01,1655.0,3,42.2,0.09,vsp,18
60,0,113,0.76,209,2.0,True,546.97,18050.0,180.5,2.123,1721.2,0.15,1758.54,3,38.1,0.29,solar,19
60,3,111,0.89,207,2.0,True,481.82,15900.0,159.0,0.089,1713.65,0.07,1715.17,3,30.0,0.27,v2g,18
120,0,94,0.76,237,2.0,True,1239.39,40900.0,409.0,0.0,2465.0,0.01,2465.0,4,40.2,0.31,vsp,36
120,0,216,2.25,384,2.0,True,709.09,23400.0,234.0,1.101,2761.65,0.72,2792.4,4,29.3,0.66,solar,36
120,8,223,3.64,391,2.0,True,521.21,17200.0,172.0,0.379,2761.65,0.31,2772.15,4,19.8,0.72,v2g,36
20,0,5,0.03,28,2.5,True,663.64,21900.0,219.0,0.0,1115.0,0.0,1115.0,2,65.0,0.02,vsp,6
20,0,28,0.17,76,2.5,True,518.18,17100.0,171.0,0.427,1165.5,0.08,1170.5,2,49.1,0.09,solar,7
20,9,39,0.22,87,2.5,True,266.67,8800.0,88.0,0.009,1082.1,0.07,1082.2,2,45.4,0.1,v2g,7
60,0,45,0.2,116,2.5,True,966.67,31900.0,319.0,0.0,1655.0,0.01,1655.0,3,42.8,0.09,vsp,18
60,0,59,0.42,155,2.5,True,587.88,19400.0,194.0,4.981,1906.5,0.15,2006.44,3,44.4,0.19,solar,23
60,1,83,0.73,179,2.5,True,546.97,18050.0,180.5,2.051,1891.67,0.27,1931.29,3,31.2,0.23,v2g,22
120,0,94,0.87,237,2.5,True,1421.21,46900.0,469.0,0.0,2465.0,0.01,2465.0,4,38.8,0.34,vsp,36
120,0,112,1.09,280,2.5,True,734.85,24250.0,242.5,6.585,3153.0,0.71,3375.26,4,32.8,0.36,solar,48
120,0,162,2.37,330,2.5,True,739.39,24400.0,244.0,3.885,3123.15,1.98,3249.38,4,23.8,0.56,v2g,45
