trips,batteries,cg_iters,cg_s,cols,eps,feasible,fuel_gal,fuel_kwh,fuel_units,gap_pct,lp_obj,milp_s,mip_obj,pricing_pct,pricing_s,scenario,solar_mult,trucks
60,1,115,1.09,211,2.0,True,181.82,6000.0,60.0,0.144,1145.75,0.11,1147.4,29.8,0.33,v2g,1,18
60,2,117,1.05,213,2.0,True,266.67,8800.0,88.0,0.236,1320.75,0.12,1323.88,24.2,0.25,v2g,3,18
60,4,117,1.15,213,2.0,True,345.45,11400.0,114.0,0.352,1521.05,0.1,1526.42,30.2,0.35,v2g,5,18
60,3,111,1.11,207,2.0,True,481.82,15900.0,159.0,0.089,1713.65,0.09,1715.17,27.8,0.31,v2g,7,18
60,10,130,1.19,226,2.0,True,442.42,14600.0,146.0,0.231,1899.83,0.15,1904.23,27.5,0.33,v2g,9,18
60,11,139,1.11,235,2.0,True,545.45,18000.0,180.0,0.007,2109.83,0.09,2109.98,27.5,0.3,v2g,11,18
60,15,147,1.38,243,2.0,True,566.67,18700.0,187.0,0.004,2289.97,0.06,2290.07,27.9,0.39,v2g,13,18
60,0,96,0.86,192,2.5,True,227.27,7500.0,75.0,2.949,1326.57,0.22,1366.89,28.9,0.25,v2g,1,22
60,0,79,0.69,175,2.5,True,339.39,11200.0,112.0,3.244,1501.57,0.29,1551.92,29.4,0.2,v2g,3,22
60,3,81,0.62,177,2.5,True,389.39,12850.0,128.5,2.428,1701.57,0.3,1743.91,29.6,0.18,v2g,5,22
60,1,83,0.68,179,2.5,True,546.97,18050.0,180.5,2.051,1891.67,0.22,1931.29,30.7,0.21,v2g,7,22
60,5,90,0.81,186,2.5,True,571.21,18850.0,188.5,1.843,2076.67,0.33,2115.66,27.8,0.22,v2g,9,22
60,8,95,0.86,191,2.5,True,639.39,21100.0,211.0,0.278,2286.67,0.33,2293.05,28.0,0.24,v2g,11,21
60,12,91,0.66,187,2.5,True,650.0,21450.0,214.5,1.323,2466.83,0.27,2499.89,30.1,0.2,v2g,13,22
