trips,batteries,cg_iters,cg_s,cols,eps,feasible,fuel_gal,fuel_kwh,fuel_units,gap_pct,lp_obj,milp_s,mip_obj,pricing_pct,pricing_s,pv_scale,scenario,solar_mwh,trucks
60,0,116,1.03,212,2.0,True,990.91,32700.0,327.0,0.018,2445.75,0.09,2446.2,29.7,0.31,0.0,v2g,0.0,18
60,0,107,0.94,203,2.0,True,763.64,25200.0,252.0,0.022,2070.75,0.09,2071.2,30.5,0.29,0.5,v2g,7.3,18
60,3,111,1.08,207,2.0,True,481.82,15900.0,159.0,0.089,1713.65,0.06,1715.17,31.7,0.34,1.0,v2g,14.7,18
60,13,112,1.1,208,2.0,True,42.42,1400.0,14.0,1.722,1375.25,0.19,1399.35,29.4,0.32,1.5,v2g,22.1,19
60,9,140,1.57,236,2.0,True,89.39,2950.0,29.5,1.06,1273.7,0.25,1287.35,26.3,0.41,2.0,v2g,29.4,18
60,8,192,2.08,288,2.0,True,103.03,3400.0,34.0,0.184,1271.36,0.08,1273.7,22.1,0.46,2.5,v2g,36.8,18
60,8,150,1.69,246,2.0,True,103.03,3400.0,34.0,0.622,1265.58,0.11,1273.5,26.9,0.46,3.0,v2g,44.1,18
60,0,70,0.7,166,2.5,True,1021.21,33700.0,337.0,1.882,2626.58,0.26,2676.95,33.5,0.23,0.0,v2g,0.0,22
60,0,71,0.66,167,2.5,True,783.33,25850.0,258.5,1.462,2251.58,0.32,2284.99,26.9,0.18,0.5,v2g,7.3,22
60,1,83,0.71,179,2.5,True,546.97,18050.0,180.5,2.051,1891.67,0.23,1931.29,30.2,0.21,1.0,v2g,14.7,22
60,14,95,0.77,191,2.5,True,46.97,1550.0,15.5,2.447,1540.17,0.28,1578.81,27.9,0.21,1.5,v2g,22.1,22
60,8,117,1.0,213,2.5,True,75.76,2500.0,25.0,1.225,1347.83,0.48,1364.55,25.3,0.25,2.0,v2g,29.4,21
60,7,107,0.93,203,2.5,True,87.88,2900.0,29.0,3.651,1342.44,0.29,1393.31,28.1,0.26,2.5,v2g,36.8,22
60,7,104,0.98,200,2.5,True,86.36,2850.0,28.5,3.896,1336.58,0.37,1390.76,29.9,0.29,3.0,v2g,44.1,22
